full_date,date_key,year,quarter,quarter_name,month,month_name,month_short,year_month,day_of_month,day_of_week,day_name,day_short,week_of_year,is_weekend,season,holiday_name,is_holiday,is_trading_day
2015-06-06,20150606,2015,2,Q2,6,June,Jun,2015-06,6,6,Saturday,Sat,23,True,Summer,,False,True
2015-06-07,20150607,2015,2,Q2,6,June,Jun,2015-06,7,7,Sunday,Sun,23,True,Summer,,False,True
2015-06-08,20150608,2015,2,Q2,6,June,Jun,2015-06,8,1,Monday,Mon,24,False,Summer,,False,True
2015-06-09,20150609,2015,2,Q2,6,June,Jun,2015-06,9,2,Tuesday,Tue,24,False,Summer,,False,True
2015-06-10,20150610,2015,2,Q2,6,June,Jun,2015-06,10,3,Wednesday,Wed,24,False,Summer,,False,True
2015-06-11,20150611,2015,2,Q2,6,June,Jun,2015-06,11,4,Thursday,Thu,24,False,Summer,,False,True
2015-06-12,20150612,2015,2,Q2,6,June,Jun,2015-06,12,5,Friday,Fri,24,False,Summer,,False,True
2015-06-13,20150613,2015,2,Q2,6,June,Jun,2015-06,13,6,Saturday,Sat,24,True,Summer,,False,True
2015-06-14,20150614,2015,2,Q2,6,June,Jun,2015-06,14,7,Sunday,Sun,24,True,Summer,,False,True
2015-06-15,20150615,2015,2,Q2,6,June,Jun,2015-06,15,1,Monday,Mon,25,False,Summer,,False,True
2015-06-16,20150616,2015,2,Q2,6,June,Jun,2015-06,16,2,Tuesday,Tue,25,False,Summer,,False,True
2015-06-17,20150617,2015,2,Q2,6,June,Jun,2015-06,17,3,Wednesday,Wed,25,False,Summer,,False,True
2015-06-18,20150618,2015,2,Q2,6,June,Jun,2015-06,18,4,Thursday,Thu,25,False,Summer,,False,True
2015-06-19,20150619,2015,2,Q2,6,June,Jun,2015-06,19,5,Friday,Fri,25,False,Summer,,False,True
2015-06-20,20150620,2015,2,Q2,6,June,Jun,2015-06,20,6,Saturday,Sat,25,True,Summer,,False,True
2015-06-21,20150621,2015,2,Q2,6,June,Jun,2015-06,21,7,Sunday,Sun,25,True,Summer,,False,True
2015-06-22,20150622,2015,2,Q2,6,June,Jun,2015-06,22,1,Monday,Mon,26,False,Summer,,False,True
2015-06-23,20150623,2015,2,Q2,6,June,Jun,2015-06,23,2,Tuesday,Tue,26,False,Summer,,False,True
2015-06-24,20150624,2015,2,Q2,6,June,Jun,2015-06,24,3,Wednesday,Wed,26,False,Summer,,False,True
2015-06-25,20150625,2015,2,Q2,6,June,Jun,2015-06,25,4,Thursday,Thu,26,False,Summer,,False,True
2015-06-26,20150626,2015,2,Q2,6,June,Jun,2015-06,26,5,Friday,Fri,26,False,Summer,,False,True
